"gutenberg_author_id","author","gender","nationality","birthdate","deathdate","link","generation"
1853,"Marshall, H. E. (Henrietta Elizabeth)","F","British",1867,1941,"http://en.wikipedia.org/wiki/Henrietta_Elizabeth_Marshall",NA
7912,"Marshall, John","M","American",1755,1835,"http://en.wikipedia.org/wiki/John_Marshall","Republican "
2404,"Martin, Theodore, Sir","M","Scottish",1816,1909,"http://en.wikipedia.org/wiki/Theodore_Martin",NA
25319,"Martineau, Harriet","F","British",1802,1876,"http://en.wikipedia.org/wiki/Harriet_Martineau",NA
40587,"Martineau, James","M","British",1805,1900,"http://en.wikipedia.org/wiki/James_Martineau",NA
46,"Marx, Karl","M","German",1818,1883,"http://en.wikipedia.org/wiki/Karl_Marx",NA
36116,"Masamune, Hakuchō","M","Japanese",1879,1962,"http://en.wikipedia.org/wiki/Hakuch%C5%8D_Masamune",NA
582,"Masefield, John","M","British",1878,1967,"http://en.wikipedia.org/wiki/John_Masefield",NA
1564,"Mason, A. E. W. (Alfred Edward Woodley)","M","British",1865,1948,"http://en.wikipedia.org/wiki/A._E._W._Mason",NA
37722,"Mason, William","M","American",1829,1908,"http://en.wikipedia.org/wiki/William_Mason_%28composer%29","Gilded "
36163,"Massee, George","M","British",1850,1917,"http://en.wikipedia.org/wiki/George_Edward_Massee",NA
2064,"Masson, David","M","Scottish",1822,1907,"http://en.wikipedia.org/wiki/David_Masson",NA
584,"Masters, Edgar Lee","M","American",1868,1950,"http://en.wikipedia.org/wiki/Edgar_Lee_Masters","Missionary "
25209,"Mathews, Cornelius","M","American",1817,1889,"http://en.wikipedia.org/wiki/Cornelius_Mathews","Transcendental "
8385,"Mathews, R. H. (Robert Hamilton)","M","Australian",1841,1918,"http://en.wikipedia.org/wiki/R._H._Mathews",NA
3153,"Mathiez, Albert","M","French",1874,1932,"http://en.wikipedia.org/wiki/Albert_Mathiez",NA
1992,"Matthews, Brander","M","American",1852,1929,"http://en.wikipedia.org/wiki/Brander_Matthews","Progressive "
41833,"Mau, August","M","German",1840,1909,"http://en.wikipedia.org/wiki/August_Mau",NA
126,"Maugham, W. Somerset (William Somerset)","M","British",1874,1965,"http://en.wikipedia.org/wiki/W._Somerset_Maugham",NA
33389,"Maunder, E. Walter (Edward Walter)","M","British",1851,1928,"http://en.wikipedia.org/wiki/Edward_Walter_Maunder",NA
34699,"Maurois, André","M","French",1885,1967,"http://en.wikipedia.org/wiki/Andr%C3%A9_Maurois",NA
